Kanji,Kanji_Meaning,Reading_Used,Word,Word_Reading,English_Meaning,Reading_Type,Position_in_Deck
二,"two, two radical (no. 7)",に,二階,にかい,"second floor, upstairs",on,656
二,"two, two radical (no. 7)",に,二,に,two,on,1782
二,"two, two radical (no. 7)",ふた,二つ,ふたつ,two (things),kun,3
二,"two, two radical (no. 7)",ふた,二人,ふたり,two persons,kun,420
二,"two, two radical (no. 7)",irregular,二十日,はつか,"20 days, 20th of the month",irregular,22
二,"two, two radical (no. 7)",irregular,二日,ふつか,"two days, 2nd of the month",irregular,23
二,"two, two radical (no. 7)",irregular,二十歳,はたち,20 years old,irregular,1009
三,three,さん,三角,さんかく,triangle,on,979
三,three,さん,三,さん,three,on,1783
三,three,みっ,三つ,みっつ,three (things),kun,4
三,three,みっ,三日,みっか,"three days, 3rd of the month",kun,19
四,four,し,四季,しき,the four seasons,on,666
四,four,し,四角,しかく,"square, quadrilateral",on,980
四,four,し,四角い,しかくい,"square, four-sided",on,981
四,four,し,四,し,four,on,1784
四,four,よっ,四つ,よっつ,four (things),kun,5
四,four,よっ,四日,よっか,"four days, 4th of the month",kun,29
四,four,よ,四つ角,よつかど,"street corner, intersection",kun,982
四,four,よん,四,よん,four,kun,1786
五,five,ご,五,ご,five,on,1787
五,five,いつ,五つ,いつつ,five (things),kun,6
五,five,いつ,五日,いつか,"five days, 5th of the month",kun,20
六,six,ろく,六,ろく,six,on,1788
六,six,むっ,六つ,むっつ,six (things),kun,7
六,six,むい,六日,むいか,"six days, 6th of the month",kun,18
七,seven,しち,七,しち,seven,on,1807
七,seven,なな,七つ,ななつ,seven (things),kun,8
七,seven,なな,七,なな,seven,kun,1789
七,seven,なの,七日,なのか,"seven days, 7th of the month",kun,28
八,"eight, eight radical (no. 12)",はち,八,はち,eight,on,1790
八,"eight, eight radical (no. 12)",やっ,八つ,やっつ,eight (things),kun,9
八,"eight, eight radical (no. 12)",よう,八日,ようか,"eight days, 8th of the month",kun,21
